,mean,Pct_90,Pct_95,Pct_99,CSAF90,CSAF95,CSAF99
Q_MEO_1.1,0.1055935,0.1552691,0.17205485,0.20604779,1.470441836,1.629407587,1.951330243
Q_3DMPOH_1.1,0.01011055,0.01479855,0.016435635,0.020302805,1.463674083,1.625592574,2.008081163
Q_2HDME_1.1,0.000993679,0.001454422,0.001615314,0.00199538,1.463673883,1.625588847,2.00807313
Q_1EU_1.1,0.02923675,0.05459045,0.062987815,0.080264098,1.86718599,2.1544055,2.745315331
Q_3HMA_1.1,0.000791397,0.001158342,0.001286491,0.001589184,1.463667413,1.62559436,2.008074329
Q_1HMES_1.1,0.00446534,0.01491962,0.02043856,0.034064071,3.341205821,4.577156499,7.628550346
Q_1HMEG_1.1,0.000195487,0.00048837,0.000612871,0.000895459,2.498229801,3.135107795,4.580671095
Q_1OME_1.1,0.03549535,0.06522003,0.07533969,0.094654606,1.83742462,2.122522809,2.666676227
